23,-10  25,-9   27,-5   29,-6   22,-6   21,-7  09,0     27,-7   24,-5
25,-7   26,-6   25,-5  06,8     11,-2   20,-5   29,-10  06,3     28,-7
08,0     30,-6   29,-8   20,-10  06,7     06,4     06,1     14,-4   21,-6
26,-10 07,-1    07,7     08,-1    21,-9   06,2     20,-7   30,-10  14,-3
20,-8   13,-2   07,3     28,-8   29,-9   15,-3   22,-5   26,-8   25,-8
25,-6   15,-4   09,-2    15,-2   12,-2   28,-9   12,-3   24,-6   23,-7
25,-10  07,8     11,-3   26,-7   07,1     23,-9   06,0     22,-10  27,-6
08,1     22,-8   13,-4   07,6     28,-6   11,-4   12,-4   26,-9   07,4
24,-10  23,-8   30,-8   07,0     09,-1    10,-1   26,-5   22,-9   06,5
07,5     23,-6   28,-10  10,-2   11,-1   20,-9   14,-2   29,-7   13,-3
23,-5   24,-8   27,-9   30,-7   28,-5   21,-10  07,9     06,6     21,-5
27,-10  07,2     30,-9   21,-8   22,-7   24,-9   20,-6   06,9     29,-5
08,-2    27,-8   30,-5   24,-7
